id,company_requested,first_name,last_name,email,what_request,opt_out_request,who_request,delete_request,alternative_email,phone,alternative_phone,primary_address,primary_city,primary_state,primary_country,request_source,website_source
,1,David,Lee,DavidLee@gmail1.com,yes,yes,no,no,DavidLee@gmail2.com,544-216-1750,181-874-2711,333 Warner Ave,Huntington Beach,CA,US,web,www.pelaton.com
,1,Johnette,Molinaro,JohnetteMolinaro@gmail1.com,yes,yes,no,no,JohnetteMolinaro@gmail2.com,506-862-5827,962-359-9421,817 Territory Road,Los Angeles,CA,US,web,www.pelaton.com
,1,Shera,Mahaffey,SheraMahaffey@gmail1.com,yes,yes,no,no,SheraMahaffey@gmail2.com,291-011-5338,130-937-2045,918 Banner Ave,San Francisco,CA,US,web,www.pelaton.com
,1,Raelene,Stwart,RaeleneStwart@gmail1.com,yes,yes,no,no,RaeleneStwart@gmail2.com,933-605-2971,283-263-4974,11 Turner Avenue,Huntington Beach,CA,US,web,www.pelaton.com
,1,Zita,Ryce,ZitaRyce@gmail1.com,yes,yes,no,no,ZitaRyce@gmail2.com,796-567-4678,798-298-7001,101 Main Street,Los Angeles,CA,US,web,www.pelaton.com
,1,Alexa,Linz,AlexaLinz@gmail1.com,yes,yes,no,no,AlexaLinz@gmail2.com,400-706-7334,397-059-7353,210 Alexander Street,San Francisco,CA,US,web,www.pelaton.com
,1,Ashlie,Metoyer,AshlieMetoyer@gmail1.com,yes,yes,no,no,AshlieMetoyer@gmail2.com,463-052-7089,359-927-3766,333 Warner Ave,Huntington Beach,CA,US,web,www.pelaton.com
,1,Hildegard,Favela,HildegardFavela@gmail1.com,yes,yes,no,no,HildegardFavela@gmail2.com,535-573-3225,221-703-4928,817 Territory Road,Los Angeles,CA,US,web,www.pelaton.com
,1,Sherrill,Heeter,SherrillHeeter@gmail1.com,yes,yes,no,no,SherrillHeeter@gmail2.com,421-283-3369,515-895-6325,918 Banner Ave,San Francisco,CA,US,web,www.pelaton.com
,1,Golda,Kram,GoldaKram@gmail1.com,yes,yes,no,no,GoldaKram@gmail2.com,191-998-7640,248-668-2283,11 Turner Avenue,Huntington Beach,CA,US,web,www.pelaton.com
,1,Lynwood,Ratner,LynwoodRatner@gmail1.com,yes,yes,no,no,LynwoodRatner@gmail2.com,606-103-4921,404-214-5114,101 Main Street,Los Angeles,CA,US,web,www.pelaton.com
,1,Danyell,Okelley,DanyellOkelley@gmail1.com,yes,yes,no,no,DanyellOkelley@gmail2.com,574-609-8883,578-550-3667,210 Alexander Street,San Francisco,CA,US,web,www.pelaton.com
,1,Yadira,Desmarais,YadiraDesmarais@gmail1.com,yes,yes,no,no,YadiraDesmarais@gmail2.com,728-705-0906,630-616-5179,333 Warner Ave,Huntington Beach,CA,US,web,www.pelaton.com
,1,Star,Lheureux,StarLheureux@gmail1.com,yes,yes,no,no,StarLheureux@gmail2.com,116-851-4704,862-123-3100,817 Territory Road,Los Angeles,CA,US,web,www.pelaton.com
,1,Cordia,Bacote,CordiaBacote@gmail1.com,yes,yes,no,no,CordiaBacote@gmail2.com,703-281-5305,892-264-9469,918 Banner Ave,San Francisco,CA,US,web,www.pelaton.com
,1,Elida,Bjork,ElidaBjork@gmail1.com,yes,yes,no,no,ElidaBjork@gmail2.com,233-622-7675,385-790-7467,11 Turner Avenue,Huntington Beach,CA,US,web,www.pelaton.com
,1,Dede,Teasdale,DedeTeasdale@gmail1.com,yes,yes,no,no,DedeTeasdale@gmail2.com,887-071-7769,150-062-2451,101 Main Street,Los Angeles,CA,US,web,www.pelaton.com
,2,Dorie,Allard,DorieAllard@gmail1.com,yes,yes,no,no,DorieAllard@gmail2.com,354-436-2882,593-423-3096,210 Alexander Street,San Francisco,CA,US,web,www.aon.com
,2,Reinaldo,Buckholz,ReinaldoBuckholz@gmail1.com,yes,yes,no,no,ReinaldoBuckholz@gmail2.com,248-838-0378,914-112-1345,333 Warner Ave,Huntington Beach,CA,US,web,www.aon.com
,2,Man,Mengel,ManMengel@gmail1.com,yes,yes,no,no,ManMengel@gmail2.com,911-879-5025,572-043-4644,817 Territory Road,Los Angeles,CA,US,web,www.aon.com
,2,Piedad,Audie,PiedadAudie@gmail1.com,yes,yes,no,no,PiedadAudie@gmail2.com,665-705-5975,715-554-6271,918 Banner Ave,San Francisco,CA,US,web,www.aon.com
,2,Alesia,Mcglown,AlesiaMcglown@gmail1.com,yes,yes,no,no,AlesiaMcglown@gmail2.com,627-260-7252,345-988-8362,11 Turner Avenue,Huntington Beach,CA,US,web,www.aon.com
,2,Noella,Campagna,NoellaCampagna@gmail1.com,yes,yes,no,no,NoellaCampagna@gmail2.com,571-206-9137,286-357-5868,101 Main Street,Los Angeles,CA,US,web,www.aon.com
,2,Drusilla,Broad,DrusillaBroad@gmail1.com,yes,yes,no,no,DrusillaBroad@gmail2.com,957-506-4384,825-875-0325,210 Alexander Street,San Francisco,CA,US,web,www.aon.com
,2,Madaline,Spann,MadalineSpann@gmail1.com,yes,yes,no,no,MadalineSpann@gmail2.com,578-703-3472,864-456-3572,333 Warner Ave,Huntington Beach,CA,US,web,www.aon.com
,2,Eddy,Waddle,EddyWaddle@gmail1.com,yes,yes,no,no,EddyWaddle@gmail2.com,619-699-2182,467-554-3346,817 Territory Road,Los Angeles,CA,US,web,www.aon.com
,2,Darron,Littell,DarronLittell@gmail1.com,yes,yes,no,no,DarronLittell@gmail2.com,434-272-2307,729-201-1193,918 Banner Ave,San Francisco,CA,US,web,www.aon.com
,2,Glenda,Sprenger,GlendaSprenger@gmail1.com,yes,yes,no,no,GlendaSprenger@gmail2.com,885-690-3446,334-105-0566,11 Turner Avenue,Huntington Beach,CA,US,web,www.aon.com
,2,Marguerite,Gullatt,MargueriteGullatt@gmail1.com,yes,yes,no,no,MargueriteGullatt@gmail2.com,124-855-0908,424-931-5690,101 Main Street,Los Angeles,CA,US,web,www.aon.com
,2,Thomasena,Slezak,ThomasenaSlezak@gmail1.com,yes,yes,no,no,ThomasenaSlezak@gmail2.com,934-558-0552,349-192-5943,210 Alexander Street,San Francisco,CA,US,web,www.aon.com
